# Data from tables 2&3 of paper
# zmin  zmax    SM      phi     hi_err  lo_err
3.5     4.5     7.75    -1.57   0.10    0.12
3.5     4.5     8.25    -1.97   0.06    0.06
3.5     4.5     8.75    -2.38   0.04    0.05
3.5     4.5     9.25    -2.74   0.06    0.06
3.5     4.5     9.75    -3.17   0.07    0.08
3.5     4.5     10.25   -3.68   0.09    0.11
3.5     4.5     10.75   -4.23   0.14    0.19
3.5     4.5     11.25   -4.78   0.19    0.31
3.5     4.5     11.75   -5.91   0.54    1.13
4.5     5.5     8.25    -2.00   0.09    0.12
4.5     5.5     8.75    -2.38   0.06    0.07
4.5     5.5     9.25    -2.89   0.08    0.10
4.5     5.5     9.75    -3.35   0.10    0.13
4.5     5.5     10.25   -4.04   0.14    0.19
4.5     5.5     10.75   -4.87   0.23    0.43
4.5     5.5     11.25   -5.80   0.54    2.55
4.5     5.5     11.75   -5.87   0.55    inf
5.5     6.5     8.25    -2.24   0.12    0.17
5.5     6.5     8.75    -2.65   0.09    0.11
5.5     6.5     9.25    -3.26   0.11    0.15
5.5     6.5     9.75    -3.85   0.15    0.21
5.5     6.5     10.25   -4.44   0.20    0.35
5.5     6.5     10.75   -5.26   0.35    inf
5.5     6.5     11.25   -5.38   0.42    inf
5.5     6.5     11.75   -5.82   0.56    inf
6.5     7.5     8.25    -2.40   0.15    0.24
6.5     7.5     8.75    -2.70   0.14    0.20
6.5     7.5     9.25    -3.35   0.14    0.21
6.5     7.5     9.75    -3.96   0.19    0.33
6.5     7.5     10.25   -4.35   0.25    0.58
6.5     7.5     10.75   -4.78   0.38    inf
6.5     7.5     11.25   -5.38   0.43    inf
6.5     7.5     11.75   -5.69   0.55    inf
7.5     8.5     8.75    -3.00   0.18    0.28
7.5     8.5     9.25    -3.64   0.19    0.33
7.5     8.5     9.75    -4.09   0.24    0.55
7.5     8.5     10.25   -4.33   0.30    1.39
7.5     8.5     10.75   -4.78   0.45    inf
7.5     8.5     11.25   -5.54   0.57    inf
7.5     8.5     11.75   -5.66   0.56    inf
8.5     9.5     8.75    -3.39   0.25    0.64
8.5     9.5     9.25    -3.81   0.24    0.52
8.5     9.5     9.75    -4.35   0.31    1.54
8.5     9.5     10.25   -4.79   0.40    inf
8.5     9.5     10.75   -5.27   0.54    inf
8.5     9.5     11.25   -5.61   0.64    inf
8.5     9.5     11.75   -5.61   0.61    inf
