# Taken from Table 4 of https://arxiv.org/abs/2403.17047v1
# low_z, high_z, SM, SFR, 12+log(O/H), hi_err, lo_err
0.23 0.87 7.22  -1.57 8.34 0.06 0.08
0.23 0.87 7.76  -1.10 8.46 0.06 0.06
0.23 0.87 8.23  -0.98 8.48 0.03 0.03
0.23 0.87 8.67  -0.89 8.52 0.04 0.04
0.23 0.87 9.28  -0.37 8.54 0.06 0.03
0.23 0.87 10.17 0.24  8.70 0.08 0.08
1.00 2.39 7.51  -0.57 7.84 0.16 0.16
1.00 2.39 8.11  -0.15 8.10 0.12 0.16
1.00 2.39 8.59  0.32  8.22 0.08 0.08
1.00 2.39 9.04  0.55  8.30 0.04 0.03
1.00 2.39 9.56  0.88  8.34 0.06 0.04
1.00 2.39 10.31 0.75  8.42 0.06 0.08

